code,name,nameTH,category,categoryTH,type,typeTH,credits,description,descriptionTH,prerequisite,remake,remarkTH
BG 1001,English I,อังกฤษ 1,General Education Courses,หมวดวิชาศึกษาทัวไป,Language Courses,กลุ่มวิชาภาษา,3 (2-3-6),"Lower intermediate academic English, with activities to foster reading, writing, listening and speaking
skills in English through communicative activities in a meaningful academic context.","ภาษาอังกฤษวิชาการระดับต้น โดยมีกิจกรรมต่างๆ เช่น กิจกรรมการสื􀃉อสารในบริบทเชิงวิชาการ เพื􀃉อพัฒนา
ทักษะการอ่าน เขียน ฟัง และพูด",,,
BG 1002,English II,อังกฤษ 2,General Education Courses,หมวดวิชาศึกษาทัวไป,Language Courses,กลุ่มวิชาภาษา,3 (2-3-6),"Intermediate academic English, reinforcing fluency and grammar with task-driven oral and writing
exercises, developing vocabulary and sentence writing skills with combined reading comprehension
exercises and writing practice.","ภาษาอังกฤษวิชาการระดับกลางทีเ􀃉 น้นพัฒนาความคล่องแคล่วในการใช้ภาษาและไวยากรณ์ด้วยแบบฝึกหัดทีใ􀃉 ช้
ชิ􀃊นงานเป็นฐานเพื􀃉อเสริมสร้างทักษะด้านการพูดและการเขียน การพัฒนาฐานคำศัพท์และทักษะเพื􀃉อการแต่ง
ประโยค โดยใช้แบบฝึกหัดการอ่านเพือ􀃉 ความเข้าใจและการเขียนควบคู่กัน",BG 1001,,
BG 2000,English III,อังกฤษ 3,General Education Courses,หมวดวิชาศึกษาทัวไป,Language Courses,กลุ่มวิชาภาษา,3 (2-3-6),"Advanced English for academic and career purposes, emphasizing organization of ideas and clarity of
expression and understanding","ภาษาอังกฤษระดับสูงเชิงวิชาการและเชิงวิชาชีพ เน้นการเรียบเรียงความคิดและความชัดเจนในการแสดง
ความคิดและความเข้าใจ",BG 1002,,
BG 2001,English IV,อังกฤษ 4,General Education Courses,หมวดวิชาศึกษาทัวไป,Language Courses,กลุ่มวิชาภาษา,3 (2-3-6),"Advanced English for academic and career purposes, emphasizing critical and analytical skills, and
formulating logical and coherent opinions.","ภาษาอังกฤษระดับสูงเชิงวิชาการและเชิงวิชาชีพ เน้นทักษะการวิจารณ์และวิเคราะห์ รวมถึงการประมวล
ความคิดทีส􀃉 อดคล้อง และมีเหตุผล",BG 2000,,
GE 1403,Communication in Thai,ภาษาไทยเพื􀃉อการสื􀃉อสาร,General Education Courses,หมวดวิชาศึกษาทัวไป,Language Courses,กลุ่มวิชาภาษา,3 (3-0-6),"Communication skills to enhance understanding by effective listening, reading, writing and public
speaking; information search for academic writing.","ทักษะการสื􀃉อสารเพื􀃉อเสริมสร้างความเข้าใจด้วยการฟัง การอ่าน การเขียน และการพูดในที􀃉ชุมชน ที􀃉มี
ประสิทธิภาพ การค้นคว้าข้อมูลเพือ􀃉 งานเขียนเชิงวิชาการ",,Thai students only),วิชาบังคับสำหรับนักศึกษาไทย
GE 1405,Thai Language and Culture,ภาษาและวัฒนธรรมไทย,General Education Courses,หมวดวิชาศึกษาทัวไป,Language Courses,กลุ่มวิชาภาษา,3 (3-0-6),"Thai language for basic communication, basic knowledge in listening, speaking, reading, and writing.
Thai cultural and traditional patterns, ways of life, festivals and local culture in different parts of Thailand.","ภาษาไทยสำหรับการสื􀃉อสารเบื􀃊องต้น ความรู้เบื􀃊องต้นในการฟัง การพูด การอ่านและการเขียน วัฒนธรรมและ
ประเพณีไทย วิถีชีวิตไทย เทศกาลและวัฒนธรรมพืน􀃊 บ้านในภูมิภาคต่างๆ ของประเทศไทย",,Non-Thai students only),วิชาบังคับสำหรับนักศึกษาต่างชาติ
GE 1406,Burmese Language,ภาษาพม่า,General Education Courses,หมวดวิชาศึกษาทัวไป,Language Courses,กลุ่มวิชาภาษา,3 (3-0-6),"Basic Burmese language skills in listening, speaking, reading, and writing. Burmese language uses in
daily life.",ภาษาพม่าเบือ􀃊 งต้นในการฟัง พูด อ่าน เขียน และการใช้ภาษาพม่าในชีวิตประจำวัน,,,
GE 1407,Russian Language,ภาษารัสเซีย,General Education Courses,หมวดวิชาศึกษาทัวไป,Language Courses,กลุ่มวิชาภาษา,3 (3-0-6),"Basic Russian language in alphabet, vocabulary, and grammar for communication; basic skills in
listening, speaking, reading and writing.","ภาษารัสเซียเบื􀃊องต้น ในเรื􀃉องพยัญชนะ คำศัพท์ และไวยากรณ์ เพื􀃉อการสื􀃉อสาร ทักษะเบื􀃊องต้นในการฟัง พูด
อ่าน และเขียน",,,
GE 3401,Public Speaking in Thai,การพูดภาษาไทยในที􀃉ชุมชน,General Education Courses,หมวดวิชาศึกษาทัวไป,Language Courses,กลุ่มวิชาภาษา,3 (3-0-6),"Basic knowledge and skills in communication in Thai, principles and techniques of effective speaking,
practical experience, and development of speakers' personality","ความรู้และทักษะพืน􀃊 ฐานในการใช้ภาษาไทย หลักการและกลวิธีการพูดทีม􀃉 ีประสิทธิภาพ การฝึกฝนการพูดให้มี
ประสิทธิภาพ และการพัฒนาบุคลิกภาพ",,,
BG 1400,Business Law I,กฎหมายธุรกิจ 1,General Education Courses,หมวดวิชาศึกษาทัวไป,Humanities Courses,กลุ่มวิชามนุษยศาสตร์,3 (3-0-6),"Basic knowledge of business laws, the relation between laws and business, major legal systems,
fundamental civil laws and criminal laws, Thai court systems, civil laws on persons, properties, juristic
acts, contracts, obligations, selected specific contracts which businesspeople should be aware of, and
electronic commerce","ความรู้เบือ􀃊 งต้นเกีย􀃉 วกับกฎหมายธุรกิจ ความสัมพันธ์ระหว่างกฎหมายกับธุรกิจ ระบบกฎหมายหลัก พืน􀃊 ฐานทาง
กฎหมายแพ่งและกฎหมายอาญา ระบบศาลไทย กฎหมายแพ่งเกี􀃉ยวกับบุคคล ทรัพย์สิน นิติกรรม-สัญญาหนี􀃊
เอกเทศสัญญาทีน􀃉 ักธุรกิจควรทราบ และระบบการค้าแบบอิเล็คทรอนิค (E-Commerce)",,,
